Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
Toronto Public Health,Public Health Foundations,Public Health Foundations,Inter-Divisional Charges,700A,Expenses,1481815.37
Toronto Public Health,Public Health Foundations,Public Health Foundations,Materials & Supplies,200A,Expenses,499941.76
Toronto Public Health,Public Health Foundations,Public Health Foundations,Other Expenditures,650A,Expenses,2879171.12
Toronto Public Health,Public Health Foundations,Public Health Foundations,Provincial Subsidies,805A,Revenues,-15085423.17
Toronto Public Health,Public Health Foundations,Public Health Foundations,Salaries And Benefits,100A,Expenses,20017017.33
Toronto Public Health,Public Health Foundations,Public Health Foundations,Service And Rent,400A,Expenses,1507139.88
Toronto Public Health,Public Health Foundations,Public Health Foundations,Sundry and Other Revenues,940A,Revenues,-301193.72
Toronto Public Health,Public Health Foundations,Public Health Foundations,Transfers From Capital,920A,Revenues,-233210.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution From Reserves/Reserve Funds,930A,Revenues,-3660288.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution To Capital,505A,Expenses,171259.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Contribution To Reserves/Reserve Funds,510A,Expenses,110970.72
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Equipment,300A,Expenses,61742.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Materials & Supplies,200A,Expenses,13794600.88
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Provincial Subsidies,805A,Revenues,-1033120.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Salaries And Benefits,100A,Expenses,55773052.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Service And Rent,400A,Expenses,2973321.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Sundry and Other Revenues,940A,Revenues,-357096.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,Transfers From Capital,920A,Revenues,-170499.0
Toronto Public Library,Library Collections Access & Borrowing,Library Collections Access & Borrowing,User Fees & Donations,850A,Revenues,-888050.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution From Reserves/Reserve Funds,930A,Revenues,-415123.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution To Capital,505A,Expenses,1167698.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Contribution To Reserves/Reserve Funds,510A,Expenses,756710.68
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Equipment,300A,Expenses,490981.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Materials & Supplies,200A,Expenses,12994706.32
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Provincial Subsidies,805A,Revenues,-4557047.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Salaries And Benefits,100A,Expenses,81514460.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Service And Rent,400A,Expenses,15684708.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Sundry and Other Revenues,940A,Revenues,-1575129.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,Transfers From Capital,920A,Revenues,-752034.0
Toronto Public Library,Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,User Fees & Donations,850A,Revenues,-3916406.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Contribution From Reserves/Reserve Funds,930A,Revenues,-18889.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Contribution To Capital,505A,Expenses,39043.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Contribution To Reserves/Reserve Funds,510A,Expenses,25299.78
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Equipment,300A,Expenses,14204.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Materials & Supplies,200A,Expenses,709467.53
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Provincial Subsidies,805A,Revenues,-105233.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Salaries And Benefits,100A,Expenses,5720311.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Service And Rent,400A,Expenses,501861.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Sundry and Other Revenues,940A,Revenues,-36375.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",Transfers From Capital,920A,Revenues,-17382.0
Toronto Public Library,"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",User Fees & Donations,850A,Revenues,-90244.0
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Contribution From Reserves/Reserve Funds,930A,Revenues,-1001200.0
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Equipment,300A,Expenses,33449400.41
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Inter-Divisional Charges,700A,Expenses,3680800.0
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Materials & Supplies,200A,Expenses,306969099.39
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Other Expenditures,650A,Expenses,34645100.0
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Salaries And Benefits,100A,Expenses,1268661900.0
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,Service And Rent,400A,Expenses,88898799.8
Toronto Transit Commission - Conventional,Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,User Fees & Donations,850A,Revenues,-1240128500.0
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Materials & Supplies,200A,Expenses,13860999.99
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Other Expenditures,650A,Expenses,909700.03
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Salaries And Benefits,100A,Expenses,57658500.0
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,Service And Rent,400A,Expenses,51236699.97
Toronto Transit Commission - Wheel Trans,Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,User Fees & Donations,850A,Revenues,-6953500.0
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Contribution To Reserves/Reserve Funds,510A,Expenses,476636.48
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Equipment,300A,Expenses,109614.42
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Inter-Divisional Charges,700A,Expenses,3845609.33
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Materials & Supplies,200A,Expenses,447586.52
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Other Expenditures,650A,Expenses,14000.0
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Salaries And Benefits,100A,Expenses,10008948.62
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Service And Rent,400A,Expenses,1709803.31
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Sundry and Other Revenues,940A,Revenues,-1028945.88
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,Transfers From Capital,920A,Revenues,-163205.64
Toronto Water,TW-Stormwater Management,TW-Stormwater Collection,User Fees & Donations,850A,Revenues,-1432356.47
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Contribution From Reserves/Reserve Funds,930A,Revenues,-195000.0
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Contribution To Reserves/Reserve Funds,510A,Expenses,0.01
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Equipment,300A,Expenses,52329.89
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Inter-Divisional Charges,700A,Expenses,2224532.43
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Materials & Supplies,200A,Expenses,442749.92
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Other Expenditures,650A,Expenses,4714314.16
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Salaries And Benefits,100A,Expenses,-1053053.26
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Service And Rent,400A,Expenses,352556.93
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Sundry and Other Revenues,940A,Revenues,-558415.38
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,Transfers From Capital,920A,Revenues,-73006.77
Toronto Water,TW-Stormwater Management,TW-Stormwater Treatment,User Fees & Donations,850A,Revenues,-103444.72
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Contribution To Reserves/Reserve Funds,510A,Expenses,1906545.86
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Equipment,300A,Expenses,252459.07
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Inter-Divisional Charges,700A,Expenses,15531561.59
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Materials & Supplies,200A,Expenses,2323244.1
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Other Expenditures,650A,Expenses,68200.0
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Salaries And Benefits,100A,Expenses,29736498.12
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Service And Rent,400A,Expenses,8322855.84
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Sundry and Other Revenues,940A,Revenues,-150286731.78
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,Transfers From Capital,920A,Revenues,-630621.72
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Collection,User Fees & Donations,850A,Revenues,-7134921.92
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Contribution To Reserves/Reserve Funds,510A,Expenses,2383182.38
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Equipment,300A,Expenses,1674336.75
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Inter-Divisional Charges,700A,Expenses,14267918.97
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Inter-Divisional Recoveries,750A,Revenues,-25000.0
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Materials & Supplies,200A,Expenses,54058495.37
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Other Expenditures,650A,Expenses,8018363.32
Toronto Water,TW-Wastewater Collection & Treatment,TW-Wastewater Treatment,Salaries And Benefits,100A,Expenses,56056006.63
